assigned_node,assigned_node_bucket,assignment_lane_id,boundary_closed_profiles,eligible_nodes,hardware_group,logical_node,logical_node_bucket,measured_profiles,missing_profiles,node,node_bucket,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,status,tier,workload_env,workload_key
node007-direct,node007-direct:gpu_node007_4x12gb,gpu_node007_direct,8,node007-direct,gpu_node007_4x11gb,node007-direct,node007-direct:gpu_node007_4x12gb,,"2,3,4",node007-direct,node007-direct:gpu_node007_4x12gb,q01_low_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_node007_4x11gb|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|half_loaded|same_workload_half_capacity,torch_cnn_resnet50.cmd.tpl,boundary_plus_pending_probe,T0_core_curve,cnn,gpu_cnn_torch_resnet50
node005,node005:cpu_hpc_192c,cpu_hpc_192c_spillover_node005,,node001;node002;node004;node005;node006,cpu_hpc_192c,node001,node001:cpu_hpc_192c,,"1,2,4,8,13,14",node005,node005:cpu_hpc_192c,q00_low_cpu_low_gpu,same_workload_to_capacity_boundary,cpu,full_loaded,cpu_hpc_192c|q00_low_cpu_low_gpu|light_control_local|light|full_loaded|same_workload_to_capacity_boundary,light_progress_control,pending_probe,T0_core_curve,light,light_control_local
node006,node006:cpu_hpc_192c,cpu_hpc_192c_spillover_node006,,node001;node002;node004;node005;node006,cpu_hpc_192c,node001,node001:cpu_hpc_192c,,"1,2,4,8,16,32,64,96,128,180,192",node006,node006:cpu_hpc_192c,q10_high_cpu_low_gpu,same_workload_to_capacity_boundary,cpu,full_loaded,cpu_hpc_192c|q10_high_cpu_low_gpu|cpu_heavy_local_bench|cpu|full_loaded|same_workload_to_capacity_boundary,cpu_parallel_progress_benchmark,pending_probe,T0_core_curve,cpu,cpu_heavy_local_bench
