taskset,arrival_mode,policy,policy_family,baseline_name,representative_systems,makespan_s,mean_flow_s,p90_flow_s,completed_jobs,candidate_vs_policy_makespan,candidate_vs_policy_mean_flow,profiles
q00_light_control,static,legacy_fixed_caps,legacy,Scheduleurm legacy,[],100620.20658266514,50054.188435942626,90542.85820828275,512,11.813534232370076,11.758274739350096,"{""light_control_local"": 1}"
q00_light_control,static,scheduleurm_sota_union_online_pareto_slack,candidate,Scheduleurm theorem-facing online candidate,[],8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_gavel_pollux_sia_table_goodput,sota_style,throughput_table_goodput,"[""Gavel"", ""Pollux"", ""Sia"", ""Optimus"", ""AlloX""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_srpt_gittins_mean_flow_oracle,sota_style,delay_oracle,"[""SRPT"", ""Gittins"", ""SERPT""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_iadeep_salus_interference_guard,sota_style,interference_guard,"[""IADeep"", ""Salus""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_quadrant_composite,sota_style,quadrant_composite,"[""Gavel/Pollux/Sia"", ""IADeep/Salus"", ""SRPT/Gittins"", ""Tiresias-style LAS"", ""AlloX/Optimus resource adaptation""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_gavel_finish_time_fairness,sota_style,finish_time_fairness,"[""Gavel"", ""Themis"", ""Shockwave"", ""Tiresias-style LAS""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_sia_pollux_resource_adaptive,sota_style,resource_adaptive_goodput,"[""Sia"", ""Pollux"", ""Optimus"", ""AlloX""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,sota_salus_iadeep_packing_guard,sota_style,packing_guard,"[""Salus"", ""IADeep"", ""Gandiva"", ""AlloX""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,scheduleurm_sota_union_guarded_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,scheduleurm_sota_union_adaptive_scalarized,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
q00_light_control,static,scheduleurm_sota_union_pareto_slack,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",8517.36699648758,4256.933057401006,7664.059577498696,512,1.0,1.0,"{""light_control_local"": 13}"
