taskset,arrival_mode,policy,policy_family,baseline_name,representative_systems,makespan_s,mean_flow_s,p90_flow_s,completed_jobs,candidate_vs_policy_makespan,candidate_vs_policy_mean_flow,profiles
q00_light_control,poisson,scheduleurm_sota_union_mean_flow,candidate_union,Scheduleurm + SOTA candidate action union,"[""Gavel"", ""Pollux"", ""Sia"", ""IADeep"", ""Salus"", ""SRPT"", ""Gittins""]",8533.214942067756,424.2673366175697,570.357018897832,512,1.0,1.0,"{""light_control_local"": 13}"
q01_gpu_bound_compute,static,legacy_fixed_caps,legacy,Scheduleurm legacy,[],1824.495833761069,1008.8723555743818,1751.1319986272483,48,1.0828483869711127,1.149111114698012,"{""gpu_heavy_jax_matmul"": 3}"
q01_gpu_bound_compute,static,calibrated_backlog_aware_guarded,candidate,Scheduleurm current candidate,[],1684.9042356376906,877.9589220486436,1528.3679272097481,48,1.0,1.0,"{""gpu_heavy_jax_matmul"": 1}"
q01_gpu_bound_compute,static,sota_gavel_pollux_sia_table_goodput,sota_style,throughput_table_goodput,"[""Gavel"", ""Pollux"", ""Sia""]",1810.0489547981504,1088.1528675474517,1670.8130042828934,48,1.0742740842556526,1.239412050176947,"{""gpu_heavy_jax_matmul"": 8}"
q01_gpu_bound_compute,static,sota_srpt_gittins_mean_flow_oracle,sota_style,delay_oracle,"[""SRPT"", ""Gittins"", ""SERPT""]",1684.9042356376906,877.9589220486436,1528.3679272097481,48,1.0,1.0,"{""gpu_heavy_jax_matmul"": 1}"
q01_gpu_bound_compute,static,sota_iadeep_salus_interference_guard,sota_style,interference_guard,"[""IADeep"", ""Salus""]",1684.9042356376906,877.9589220486436,1528.3679272097481,48,1.0,1.0,"{""gpu_heavy_jax_matmul"": 1}"
q01_gpu_bound_compute,static,sota_quadrant_composite,sota_style,quadrant_composite,"[""Gavel/Pollux/Sia"", ""IADeep/Salus"", ""SRPT/Gittins""]",1717.1039773089637,967.0095268271359,1610.1898016119783,48,1.0191107251024782,1.1014291244637053,"{""gpu_heavy_jax_matmul"": 4}"
q01_gpu_bound_compute,static,sota_gavel_finish_time_fairness,sota_style,finish_time_fairness,"[""Gavel"", ""Themis""]",1634.0157524185324,1075.6167012782362,1613.1596795961002,48,0.9697974032334851,1.2251332884326465,"{""gpu_heavy_jax_matmul"": 8}"
q01_gpu_bound_compute,static,sota_sia_pollux_resource_adaptive,sota_style,resource_adaptive_goodput,"[""Sia"", ""Pollux""]",1684.9042356376906,877.9589220486436,1528.3679272097481,48,1.0,1.0,"{""gpu_heavy_jax_matmul"": 1}"
q01_gpu_bound_compute,static,sota_salus_iadeep_packing_guard,sota_style,packing_guard,"[""Salus"", ""IADeep"", ""Gandiva""]",1634.0157524185324,1075.6167012782362,1613.1596795961002,48,0.9697974032334851,1.2251332884326465,"{""gpu_heavy_jax_matmul"": 8}"
