assigned_node,assigned_node_bucket,assignment_lane_id,boundary_closed_profiles,eligible_nodes,hardware_group,logical_node,logical_node_bucket,measured_profiles,missing_profiles,node,node_bucket,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,status,tier,workload_env,workload_key
jtl110gpu2,jtl110gpu2:gpu_3080ti_12gb_dual,gpu_jtl110_spillover,,jtl110gpu;jtl110gpu2,gpu_3080ti_12gb_dual,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"1,2,3,5,6",4,jtl110gpu2,jtl110gpu2:gpu_3080ti_12gb_dual,q11_high_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_bapr_ant|bapr_ant|full_loaded|same_workload_to_capacity_boundary,bapr_ant_real.cmd.tpl,partial_pending_probe,T0_core_curve,bapr_ant,hybrid_rl_bapr_ant
jtl110gpu2,jtl110gpu2:gpu_3080ti_12gb_dual,gpu_jtl110_spillover,,jtl110gpu;jtl110gpu2,gpu_3080ti_12gb_dual,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"1,2,3,4,5",6,jtl110gpu2,jtl110gpu2:gpu_3080ti_12gb_dual,q11_high_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|full_loaded|same_workload_to_capacity_boundary,resac_env_real_venv.cmd.tpl,partial_pending_probe,T0_core_curve,ant,hybrid_rl_resac_ant
