boundary_closed_profiles,hardware_group,measured_profiles,missing_profiles,node,node_bucket,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,status,tier,workload_env,workload_key
,gpu_3080ti_12gb_dual,"1,2,3,4","5,6,8",jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|full_loaded|same_workload_to_capacity_boundary,torch_cnn_resnet50.cmd.tpl,partial_pending_probe,T0_core_curve,cnn,gpu_cnn_torch_resnet50
,gpu_rtx2080_8gb_dual_cpu_fast,,"1,2,3,4,5,6,8",jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_rtx2080_8gb_dual_cpu_fast|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|full_loaded|same_workload_to_capacity_boundary,torch_cnn_resnet50.cmd.tpl,pending_probe,T0_core_curve,cnn,gpu_cnn_torch_resnet50
,gpu_node007_4x11gb,,"1,2,3,4,5,6,8",node007-direct,node007-direct:gpu_node007_4x12gb,q01_low_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_node007_4x11gb|q01_low_cpu_high_gpu|gpu_cnn_torch_resnet50|cnn|full_loaded|same_workload_to_capacity_boundary,torch_cnn_resnet50.cmd.tpl,pending_probe,T0_core_curve,cnn,gpu_cnn_torch_resnet50
,cpu_hpc_192c,,"1,2,4,8,13,14",node001,node001:cpu_hpc_192c,q00_low_cpu_low_gpu,same_workload_to_capacity_boundary,cpu,full_loaded,cpu_hpc_192c|q00_low_cpu_low_gpu|light_control_local|light|full_loaded|same_workload_to_capacity_boundary,light_progress_control,pending_probe,T0_core_curve,light,light_control_local
,cpu_jtl110_128c,,"1,2,4,8,13,14",jtl110cpu,jtl110cpu:cpu_jtl110_128c,q00_low_cpu_low_gpu,same_workload_to_capacity_boundary,cpu,full_loaded,cpu_jtl110_128c|q00_low_cpu_low_gpu|light_control_local|light|full_loaded|same_workload_to_capacity_boundary,light_progress_control,pending_probe,T0_core_curve,light,light_control_local
